time,upload,download
210,0.0128906,0.0128906
211,0.0257812,0.0257812
212,0.0591797,0.0462891
213,0.0591797,0.0462891
214,0.0720703,0.0591797
215,0.0720703,0.0591797
216,0.0591797,0.0462891
217,0.102539,0.0773437
218,0.102539,0.0773437
219,0.123047,0.0849609
220,0.123047,0.0849609
221,0.123047,0.0849609
222,0.123047,0.0849609
223,0.123047,0.0849609
224,0.0128906,0.0128906
225,0.0128906,0.0128906
226,0.0128906,0.0128906
227,0.0257812,0.0257812
228,0.0257812,0.0257812
229,0.0257812,0.0257812
230,0.0257812,0.0257812
231,0.0257812,0.0257812
232,0.0257812,0.0257812
233,0.0257812,0.0257812
234,0.0128906,0.0128906
235,0.0767578,0.065625
236,0.0767578,0.065625
237,0.0767578,0.065625
238,0.0767578,0.065625
239,0.127734,0.0914062
240,0.0767578,0.0386719
241,0.0767578,0.0386719
242,0.0767578,0.0386719
243,0.0767578,0.0386719
244,0.0767578,0.0386719
245,0.0128906,0.0128906
246,0.0128906,0.0128906
247,0.0257812,0.0257812
248,0.0257812,0.0257812
249,0.0257812,0.0257812
250,0.0257812,0.0257812
251,0.0257812,0.0257812
252,0.0257812,0.0257812
253,0.0257812,0.0257812
254,0.0257812,0.0257812
255,0.0128906,0
256,0.0386719,0.0386719
257,0.0386719,0.0386719
258,0.0386719,0.0386719
259,0.0386719,0.0386719
260,0.0386719,0.0386719
261,0.0386719,0.0386719
262,0.0386719,0.0386719
263,0.0386719,0.0386719
264,0.0638672,0.0410156
265,0.0638672,0.0410156
266,0.0767578,0.0539063
267,0.444336,0.274414
268,0.758594,0.398438
269,0.890625,1.53613
270,0.890625,1.53613
271,0.890625,1.53613
272,0.644531,1.49199
273,0.305273,1.24805
274,0.305273,1.24805
275,0.305273,1.24805
276,0.305273,1.24805
277,0.0455078,0.0447266
278,0.0455078,0.0447266
279,0.421875,1.77129
280,0.421875,1.77129
281,0.421875,1.77129
282,0.421875,1.77129
283,0.421875,1.77129
284,0.421875,1.77129
285,0.421875,1.77129
286,0.421875,1.77129
287,0.0128906,0.0128906
288,0.0128906,0.0128906
289,0.0128906,0.0128906
290,0.0128906,0.0128906
291,0.0128906,0.0128906
292,0.0128906,0.0128906
293,0.0128906,0.0128906
294,0.0128906,0.0128906
295,0.0128906,0.0128906
296,0.0128906,0.0128906
297,0.0386719,0.0257812
298,0.0644531,0.0515625
299,0.0644531,0.0515625
300,0.0644531,0.0515625
301,0.0644531,0.0515625
302,0.0644531,0.0515625
303,0.0644531,0.0515625
304,0.0644531,0.0515625
305,0.0644531,0.0515625
306,0.0644531,0.0515625
307,0.0644531,0.0515625
308,2.04531,4.82227
309,4.14355,11.2934
310,5.63027,12.3029
311,5.69629,12.4625
312,6.91035,13.3002
313,4.91055,8.92363
314,2.90332,2.69648
315,2.90332,2.69648
316,2.90332,2.69648
317,0.693164,0.40625
318,0.961914,0.709375
319,0.961914,0.709375
320,0.961914,0.709375
321,0.961914,0.709375
322,0.314258,0.328906
323,0.314258,0.328906
324,0.314258,0.328906
325,0.328516,0.245898
326,0.328516,0.258789
327,0.7625,0.44082
328,1.18633,0.728906
329,1.18633,0.741797
330,1.95762,5.50391
331,1.71934,13.575
332,2.31191,20.0994
333,2.49707,23.1607
334,2.47656,22.9242
335,2.47656,22.9242
336,2.47656,22.9242
337,1.18184,3.9123
338,1.18184,3.9123
339,1.14766,0.602539
340,1.14766,0.602539
341,1.14766,0.602539
342,1.14766,0.602539
343,1.14766,0.602539
344,0.286719,0.216211
345,0.796875,0.303516
346,1.84199,4.19844
347,2.26484,4.43711
348,2.26484,4.43711
349,2.41406,5.49395
350,2.24277,5.68457
351,2.24277,5.68457
352,1.01348,1.61016
353,1.04688,1.83359
354,1.04688,1.83359
355,1.04688,1.83359
356,0.297852,0.308398
357,0.513672,0.511328
358,0.513672,0.308398
359,0.513672,0.308398
360,0.513672,0.308398
361,0.513672,0.308398
362,0.347461,1.1834
363,0.653906,10.3152
364,1.42695,11.5488
365,1.48613,11.8543
366,1.51191,11.8801
367,1.99434,11.2004
368,1.68027,2.6418
369,1.5875,1.17676
370,1.54805,1.55078
371,1.54805,1.55078
372,1.54805,1.55078
373,0.951563,1.21816
374,0.532422,0.907422
375,0.532422,0.907422
376,0.284961,0.235547
377,0.748438,0.485352
378,0.748438,0.485352
379,0.748438,0.485352
380,0.748438,0.485352
381,0.748438,0.485352
382,0.084375,0.0490234
