time,ping
586,147
587,113
588,128
589,115
590,81.9
591,113
592,91
593,44.6
594,43.3
595,118
596,102
597,44.8
598,63.7
599,39.7
600,55
601,82.4
602,71.4
603,57.2
604,49.5
605,48.2
606,55.4
607,50.2
608,68
609,48.1
610,71.7
611,99.9
612,45.3
613,63.1
614,63.7
615,61.4
616,76
617,54.9
618,63.7
619,53.6
620,71.4
621,70.2
622,50.1
623,108
624,69.4
625,63.6
626,41.7
627,65.3
628,95.4
629,100
630,54.1
631,42.5
632,40.4
633,58
634,66.9
635,72
636,55.5
637,54.3
638,102
639,91.8
640,81.9
641,72.8
642,70.9
643,61.8
644,72.8
645,41.9
646,45
647,59.9
648,60.2
649,67.9
650,57.8
651,61.1
652,55.4
653,74.1
654,57.5
655,87.1
656,50.9
657,61.2
658,59.2
659,48.1
660,52.7
661,71.2
662,55.4
663,48.6
664,66.4
665,70.6
666,52.4
667,59.3
668,77.1
669,77
670,53.1
671,62
672,49.7
673,53.4
674,47.8
675,40.8
676,47.8
677,61.4
678,41.2
679,60.6
680,72.3
681,60.7
682,56.4
683,58.8
684,54.2
685,51.9
686,63.6
687,73.3
688,60.2
689,57.3
690,61.5
691,69.8
692,74.6
693,42.8
694,61.3
695,50
696,49.4
697,77.9
698,57
699,56.5
700,59.5
701,53.7
702,110
703,124
704,112
705,123
706,108
707,296
708,108
709,80.5
710,98.9
711,94.4
712,77.4
713,124
714,74.9
715,73.9
716,108
717,572
718,115
719,96.8
720,123
721,122
722,128
723,130
724,105
725,104
726,67
727,70.6
728,57
729,56.4
730,85.5
731,83.9
732,98.3
733,115
734,128
735,99.1
736,96.8
737,74.2
738,94.9
739,104
740,81
741,96.5
742,99.2
743,81.7
744,71.8
745,49.4
746,67.7
747,76.6
748,70.7
749,50.5
750,59
751,58.9
752,48.7
753,61.5
754,45.7
755,77.9
756,77.8
757,42.3
758,70.6
759,55.7
760,49.8
761,51.4
762,53.7
763,82.9
764,94.8
765,68.8
766,98.8
767,161
768,120
769,103
770,98.2
771,77.7
772,50.5
773,107
774,104
775,123
776,98.8
777,657
778,139
779,96.2
780,114
781,84.9
782,109
783,92.7
784,109
785,79.1
786,88.8
787,144
788,99
789,105
790,88.8
791,85.1
792,139
793,90.7
794,105
795,120
796,105
797,310
798,136
799,144
800,102
801,173
802,80
803,52.6
804,58.4
805,60.8
806,65.4
807,51.4
808,65.5
809,50.6
810,44.5
811,66.3
812,44.8
813,69.7
814,59.1
815,47.6
816,51.8
817,56
818,58.9
819,85.9
820,73.2
821,59.7
822,67.9
823,57
824,77.5
825,50
826,64.8
827,96.6
828,44
829,50.3
830,51.6
831,80
832,57.4
833,64.3
834,54.4
835,74.7
836,59.9
837,65.5
838,61.8
839,45.5
840,44.9
841,61.3
842,93.2
843,49.1
844,56.4
845,55.2
846,63.9
847,68.6
848,51
849,45.4
850,79.3
851,73.9
852,77.2
853,45.2
854,58.9
855,42
856,88.1
857,41.1
858,39.9
859,50.4
860,58.1
861,46.7
862,55.7
863,83.9
864,74.4
865,49.6
866,76.9
867,197
868,55.9
869,50.9
870,45
871,44.7
872,57.2
873,59.7
874,51
875,50.3
876,61.7
877,53.9
878,73.1
879,52.1
880,61.9
881,84.9
882,39.1
883,73.7
884,57.5
885,47.3
886,54.9
887,66.2
888,66.2
889,41.6
890,151
891,114
892,143
893,164
894,58
895,46.4
896,40.7
897,54.7
898,103
899,61.9
900,56
901,120
902,67.3
903,93.5
904,135
905,78.1
906,52.4
907,40.7
908,60.5
909,59.9
910,57.9
911,42.1
912,61.1
913,109
914,79.8
915,87.3
916,85
917,102
918,121
919,132
920,59
921,46.6
922,44.5
923,127
924,69.9
925,84.9
926,152
927,74.8
928,117
929,119
930,85.7
931,95.8
932,105
933,103
934,94.9
935,115
936,95.1
937,68.7
938,536
939,96.4
940,138
941,84.4
942,91.2
943,112
944,108
945,67.3
946,106
947,116
948,382
949,117
950,86.2
951,81
